La France,L'Italie,allies commerciaux,2020-01-01
L'Espagne,La France,en guerre,2020-01-01
La France,L'Italie,neutres,2020-01-10
La France,L'Espagne,allies commerciaux,2020-01-20
L'Italie,La France,en guerre,2020-01-21
Le Japon,La Chine,en guerre,2020-05-21
Le Vietnam,Les Etats-Unis,neutres,2020-05-30
La Tunisie,Le Maroc,allies commerciaux,2020-08-05
L'Espagne,La France,neutres,2020-09-07
Le Japon,Les Etats-Unis,neutres,2020-09-14
Le Mexique,les Etats-Unis,allies,2020-10-19
L'Italie,L'Espagne,allies commerciaux,2020-12-07